"T","U:0","U:1","U:2","alphat","k","nut","omega","p","Points:0","Points:1","Points:2"
253.79,660.79,2.1218,0,6.6599e-06,0.01003,0.0009928,10.103,505.3,1,0.42791,0.05
253.79,660.79,2.1234,0,6.6704e-06,0.010033,0.00099436,10.09,505.3,1,0.43607,0.05
253.79,660.8,2.1252,0,6.6803e-06,0.010037,0.00099584,10.079,505.3,1,0.44426,0.05
253.79,660.8,2.127,0,6.6896e-06,0.01004,0.00099722,10.068,505.3,1,0.45248,0.05
253.79,660.8,2.1289,0,6.6982e-06,0.010043,0.00099851,10.058,505.3,1,0.46074,0.05
253.79,660.8,2.1309,0,6.706e-06,0.010046,0.00099967,10.05,505.3,1,0.46903,0.05
253.79,660.8,2.1331,0,6.7131e-06,0.010049,0.0010007,10.041,505.3,1,0.47736,0.05
253.79,660.8,2.1354,0,6.7194e-06,0.01005,0.0010017,10.034,505.3,1,0.48573,0.05
253.79,660.8,2.1379,0,6.725e-06,0.010051,0.0010025,10.026,505.29,1,0.49413,0.05
253.79,660.8,2.1405,0,6.7301e-06,0.010052,0.0010033,10.019,505.29,1,0.50256,0.05
253.79,660.8,2.1434,0,6.7349e-06,0.010053,0.001004,10.013,505.29,1,0.51104,0.05
253.79,660.8,2.1464,0,6.7394e-06,0.010055,0.0010047,10.008,505.28,1,0.51954,0.05
253.79,660.8,2.1496,0,6.7435e-06,0.010056,0.0010053,10.003,505.28,1,0.52809,0.05
253.79,660.8,2.1531,0,6.7472e-06,0.010057,0.0010058,9.9986,505.28,1,0.53667,0.05
253.79,660.8,2.1568,0,6.7503e-06,0.010058,0.0010063,9.9945,505.27,1,0.54529,0.05
253.79,660.8,2.1607,0,6.7527e-06,0.010058,0.0010067,9.9909,505.27,1,0.55394,0.05
253.78,660.8,2.1649,0,6.7545e-06,0.010057,0.001007,9.9876,505.26,1,0.56263,0.05
253.78,660.81,2.1693,0,6.7558e-06,0.010056,0.0010072,9.9848,505.25,1,0.57136,0.05
253.78,660.81,2.1741,0,6.7569e-06,0.010056,0.0010073,9.9825,505.25,1,0.58012,0.05
253.78,660.81,2.1792,0,6.7579e-06,0.010055,0.0010075,9.9806,505.24,1,0.58892,0.05
253.78,660.81,2.1846,0,6.7588e-06,0.010055,0.0010076,9.9792,505.23,1,0.59776,0.05
253.78,660.81,2.1905,0,6.7597e-06,0.010056,0.0010078,9.978,505.22,1,0.60664,0.05
253.78,660.82,2.1967,0,6.7606e-06,0.010056,0.0010079,9.977,505.21,1,0.61555,0.05
253.77,660.82,2.2035,0,6.7614e-06,0.010057,0.0010081,9.976,505.2,1,0.62451,0.05
253.77,660.82,2.2107,0,6.7621e-06,0.010057,0.0010082,9.9749,505.18,1,0.6335,0.05
253.77,660.83,2.2185,0,6.7626e-06,0.010056,0.0010083,9.9737,505.17,1,0.64252,0.05
253.77,660.83,2.227,0,6.7629e-06,0.010056,0.0010084,9.9724,505.15,1,0.65159,0.05
253.77,660.83,2.236,0,6.7631e-06,0.010055,0.0010084,9.9713,505.13,1,0.6607,0.05
253.76,660.84,2.2458,0,6.7632e-06,0.010055,0.0010085,9.9704,505.11,1,0.66984,0.05
253.76,660.84,2.2564,0,6.7633e-06,0.010055,0.0010085,9.9697,505.09,1,0.67902,0.05
253.76,660.85,2.2677,0,6.7635e-06,0.010055,0.0010086,9.9692,505.07,1,0.68825,0.05
253.75,660.85,2.2799,0,6.7637e-06,0.010055,0.0010086,9.9688,505.04,1,0.69751,0.05
253.75,660.86,2.2931,0,6.7638e-06,0.010055,0.0010087,9.9683,505.01,1,0.70681,0.05
253.74,660.87,2.3072,0,6.7638e-06,0.010055,0.0010087,9.9677,504.98,1,0.71615,0.05
253.74,660.87,2.3224,0,6.7637e-06,0.010054,0.0010088,9.967,504.95,1,0.72553,0.05
253.73,660.88,2.3386,0,6.7635e-06,0.010054,0.0010088,9.9663,504.92,1,0.73495,0.05
253.73,660.89,2.3559,0,6.7632e-06,0.010053,0.0010088,9.9657,504.88,1,0.74441,0.05
253.72,660.9,2.3744,0,6.763e-06,0.010053,0.0010088,9.9652,504.84,1,0.75391,0.05
253.71,660.91,2.3941,0,6.7628e-06,0.010053,0.0010088,9.9649,504.79,1,0.76345,0.05
253.71,660.92,2.4151,0,6.7625e-06,0.010053,0.0010089,9.9647,504.74,1,0.77303,0.05
253.7,660.93,2.4373,0,6.7621e-06,0.010053,0.0010089,9.9645,504.69,1,0.78265,0.05
253.69,660.94,2.4607,0,6.7615e-06,0.010053,0.0010089,9.9642,504.64,1,0.79231,0.05
253.68,660.96,2.4854,0,6.7608e-06,0.010052,0.0010089,9.9639,504.58,1,0.80202,0.05
253.67,660.97,2.5114,0,6.7601e-06,0.010052,0.0010088,9.9637,504.52,1,0.81176,0.05
253.66,660.99,2.5386,0,6.7594e-06,0.010051,0.0010088,9.9636,504.46,1,0.82155,0.05
253.66,661,2.567,0,6.7588e-06,0.010052,0.0010088,9.9636,504.39,1,0.83138,0.05
253.64,661.02,2.5966,0,6.7582e-06,0.010052,0.0010088,9.9637,504.32,1,0.84125,0.05
253.63,661.03,2.6271,0,6.7575e-06,0.010052,0.0010088,9.9636,504.25,1,0.85116,0.05
253.62,661.05,2.6586,0,6.7566e-06,0.010051,0.0010088,9.9634,504.18,1,0.86111,0.05
253.61,661.07,2.6908,0,6.7557e-06,0.010051,0.0010088,9.9632,504.1,1,0.87111,0.05
253.6,661.08,2.7237,0,6.7548e-06,0.01005,0.0010087,9.963,504.02,1,0.88115,0.05
253.59,661.1,2.757,0,6.754e-06,0.01005,0.0010087,9.9629,503.95,1,0.89123,0.05
253.58,661.12,2.7904,0,6.7533e-06,0.01005,0.0010087,9.9629,503.87,1,0.90135,0.05
253.57,661.13,2.8239,0,6.7526e-06,0.01005,0.0010087,9.963,503.79,1,0.91152,0.05
253.55,661.15,2.8569,0,6.7519e-06,0.01005,0.0010087,9.963,503.71,1,0.92173,0.05
253.54,661.17,2.8894,0,6.751e-06,0.01005,0.0010087,9.9628,503.64,1,0.93198,0.05
253.53,661.19,2.9209,0,6.7501e-06,0.010049,0.0010087,9.9625,503.57,1,0.94228,0.05
253.52,661.2,2.9512,0,6.7492e-06,0.010048,0.0010086,9.9622,503.5,1,0.95262,0.05
253.51,661.22,2.9799,0,6.7484e-06,0.010048,0.0010086,9.9621,503.43,1,0.96301,0.05
253.5,661.23,3.0068,0,6.7479e-06,0.010048,0.0010086,9.9621,503.37,1,0.97344,0.05
253.49,661.24,3.0315,0,6.7475e-06,0.010048,0.0010086,9.9622,503.31,1,0.98391,0.05
253.49,661.25,3.0539,0,6.747e-06,0.010048,0.0010087,9.9623,503.26,1,0.99443,0.05
253.48,661.26,3.0738,0,6.7465e-06,0.010048,0.0010086,9.9621,503.22,1,1.005,0.05
253.48,661.27,3.0912,0,6.7458e-06,0.010047,0.0010086,9.9618,503.18,1,1.0156,0.05
253.47,661.28,3.106,0,6.7452e-06,0.010046,0.0010085,9.9614,503.15,1,1.0263,0.05
253.47,661.28,3.1184,0,6.7448e-06,0.010046,0.0010085,9.9612,503.13,1,1.0369,0.05
253.46,661.29,3.1285,0,6.7447e-06,0.010046,0.0010085,9.9613,503.11,1,1.0477,0.05
253.46,661.29,3.1366,0,6.7447e-06,0.010047,0.0010085,9.9615,503.09,1,1.0585,0.05
253.46,661.29,3.1429,0,6.7447e-06,0.010047,0.0010086,9.9616,503.08,1,1.0693,0.05
253.46,661.29,3.1477,0,6.7446e-06,0.010047,0.0010085,9.9615,503.08,1,1.0802,0.05
253.46,661.3,3.1515,0,6.7443e-06,0.010046,0.0010085,9.9612,503.07,1,1.0911,0.05
253.46,661.3,3.1544,0,6.744e-06,0.010045,0.0010085,9.9609,503.07,1,1.1021,0.05
253.46,661.3,3.1566,0,6.7439e-06,0.010045,0.0010085,9.9608,503.07,1,1.1131,0.05
253.46,661.29,3.1581,0,6.7441e-06,0.010045,0.0010085,9.961,503.08,1,1.1242,0.05
253.46,661.29,3.1589,0,6.7444e-06,0.010046,0.0010085,9.9613,503.08,1,1.1353,0.05
253.46,661.29,3.1591,0,6.7445e-06,0.010046,0.0010085,9.9614,503.09,1,1.1465,0.05
253.46,661.29,3.1588,0,6.7445e-06,0.010046,0.0010085,9.9612,503.09,1,1.1577,0.05
253.46,661.29,3.158,0,6.7443e-06,0.010045,0.0010085,9.9609,503.1,1,1.1689,0.05
253.46,661.29,3.1566,0,6.7443e-06,0.010045,0.0010084,9.9608,503.11,1,1.1802,0.05
253.47,661.28,3.1547,0,6.7445e-06,0.010045,0.0010085,9.9609,503.13,1,1.1916,0.05
253.47,661.28,3.1522,0,6.7449e-06,0.010046,0.0010085,9.9612,503.14,1,1.203,0.05
253.47,661.28,3.149,0,6.7453e-06,0.010047,0.0010085,9.9615,503.15,1,1.2144,0.05
253.47,661.27,3.1452,0,6.7454e-06,0.010047,0.0010085,9.9615,503.17,1,1.2259,0.05
253.48,661.27,3.1408,0,6.7454e-06,0.010046,0.0010085,9.9613,503.19,1,1.2375,0.05
253.48,661.27,3.1358,0,6.7454e-06,0.010046,0.0010085,9.9611,503.21,1,1.2491,0.05
253.48,661.26,3.1301,0,6.7457e-06,0.010046,0.0010085,9.9612,503.23,1,1.2607,0.05
253.49,661.26,3.1239,0,6.7462e-06,0.010047,0.0010085,9.9615,503.25,1,1.2724,0.05
253.49,661.25,3.117,0,6.7467e-06,0.010047,0.0010086,9.9618,503.28,1,1.2842,0.05
253.49,661.24,3.1096,0,6.747e-06,0.010047,0.0010086,9.9619,503.3,1,1.296,0.05
253.5,661.24,3.1014,0,6.7472e-06,0.010047,0.0010086,9.9618,503.33,1,1.3078,0.05
253.5,661.23,3.0927,0,6.7473e-06,0.010047,0.0010086,9.9616,503.36,1,1.3197,0.05
253.51,661.22,3.0832,0,6.7478e-06,0.010047,0.0010086,9.9618,503.39,1,1.3316,0.05
253.51,661.22,3.0732,0,6.7484e-06,0.010048,0.0010086,9.9622,503.43,1,1.3436,0.05
253.52,661.21,3.0626,0,6.7491e-06,0.010049,0.0010087,9.9626,503.46,1,1.3557,0.05
253.52,661.2,3.0515,0,6.7495e-06,0.010049,0.0010087,9.9627,503.5,1,1.3678,0.05
253.53,661.19,3.04,0,6.7498e-06,0.010049,0.0010087,9.9626,503.53,1,1.3799,0.05
253.53,661.18,3.0282,0,6.7501e-06,0.010049,0.0010087,9.9626,503.57,1,1.3921,0.05
253.54,661.17,3.0162,0,6.7507e-06,0.01005,0.0010087,9.9628,503.61,1,1.4044,0.05
253.54,661.17,3.0044,0,6.7513e-06,0.01005,0.0010088,9.9632,503.65,1,1.4167,0.05
253.55,661.16,2.9928,0,6.7519e-06,0.010051,0.0010088,9.9635,503.69,1,1.429,0.05
253.56,661.15,2.9816,0,6.7523e-06,0.010051,0.0010088,9.9635,503.72,1,1.4415,0.05
253.56,661.14,2.9711,0,6.7526e-06,0.010051,0.0010088,9.9634,503.76,1,1.4539,0.05
253.56,661.14,2.9615,0,6.7529e-06,0.010051,0.0010088,9.9635,503.79,1,1.4664,0.05
253.57,661.13,2.9529,0,6.7535e-06,0.010052,0.0010088,9.9638,503.82,1,1.479,0.05
253.57,661.12,2.9453,0,6.7539e-06,0.010052,0.0010089,9.964,503.85,1,1.4916,0.05
